Value,Count,hierarchy,class,subclass,formation,formation,division k,division c,Division,Mgkey,Mg code,Mg name fi,Macrogroup,Mapped,Red,Green,Blue,Opacity
147,5946517.0,2.B.1.Fh,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.1,2.B.1,D107,2.B.1.Fh,2.B.1.Fh South African Cape Mediterranean Scrub,MA147,2.B.1.Fh.2,2.B.1.Fh.2-Renosterveld,Renosterveld,1,0.92549,0.85098,0.984314,1.0
148,879616.0,2.B.1.Fh,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.1,2.B.1,D107,2.B.1.Fh,2.B.1.Fh South African Cape Mediterranean Scrub,MA148,2.B.1.Fh.3,2.B.1.Fh.3-Strandveld,Strandveld,1,1.0,0.709804,1.0,1.0
151,1776956.0,3.A.2.Fc,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D177,3.A.2.Fc,3.A.2.Fc Succulent Karoo,MA151,3.A.2.Fc.1,3.A.2.Fc.1-Richtersveld,Richtersveld,1,0.803922,0.4,0.4,1.0
152,2673145.0,3.A.2.Fc,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D177,3.A.2.Fc,3.A.2.Fc Succulent Karoo,MA152,3.A.2.Fc.2,3.A.2.Fc.2-Namaqualand Hardeveld,Namaqualand Hardeveld,1,0.886275,0.458824,0.309804,1.0
153,974060.0,3.A.2.Fc,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D177,3.A.2.Fc,3.A.2.Fc Succulent Karoo,MA153,3.A.2.Fc.3,3.A.2.Fc.3-Namaqualand Sandveld,Namaqualand Sandveld,1,0.843137,0.458824,0.254902,1.0
154,1110504.0,3.A.2.Fc,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D177,3.A.2.Fc,3.A.2.Fc Succulent Karoo,MA154,3.A.2.Fc.4,3.A.2.Fc.4-Knersvlakte,Knersvlakte,1,0.792157,0.482353,0.368627,1.0
155,1211275.0,3.A.2.Fc,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D177,3.A.2.Fc,3.A.2.Fc Succulent Karoo,MA155,3.A.2.Fc.5,3.A.2.Fc.5-Trans-Escarpment Succulent Karoo,Trans-Escarpment Succulent Karoo,1,0.92549,0.301961,0.54902,1.0
157,4118862.0,3.A.2.Fc,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D177,3.A.2.Fc,3.A.2.Fc Succulent Karoo,MA157,3.A.2.Fc.7,3.A.2.Fc.7-Sperregebied Succulent Karoo,Sperregebied Succulent Karoo,1,0.85098,0.486275,0.521569,1.0
161,2105012.0,1.B.1.Ff,1 Forest to Open Woodland,1.B Temperate & Boreal Forest,1.B.1,1.B.1,D301,1.B.1.Ph,1.B.1.Ph Northern African Mediterranean Forest,MA161,1.B.1.Ph.1,1.B.1.Ph.1-Mediterranean Lowland Mixed Forest,Mediterranean Lowland Mixed Forest,1,0.658824,0.658824,0.0,1.0
162,515243.0,1.B.1.Ff,1 Forest to Open Woodland,1.B Temperate & Boreal Forest,1.B.1,1.B.1,D301,1.B.1.Ph,1.B.1.Ph Northern African Mediterranean Forest,MA162,1.B.1.Ph.2,1.B.1.Ph.2-Northern African Pinus / Quercus Forest & Woodland,Northern African Pinus / Quercus Forest & Woodland,1,0.439216,0.658824,0.0,1.0
